구,동,단지명,공시제곱미터당가_중위,호수,면적타입수
강북구,미아동,(422-1),7026143,3,3
강북구,미아동,(424-1),5940692,6,4
강북구,미아동,(43-9),4390054,4,2
강북구,미아동,(432-18),6424613,4,4
강북구,미아동,(436-0),8237702,4,4
강북구,미아동,(436-10),5563822,4,4
강북구,미아동,(436-12),4772877,4,4
강북구,미아동,(436-20),5884507,4,4
강북구,미아동,(436-24),5313227,4,3
강북구,미아동,(436-33),5681624,4,3
강북구,미아동,(436-48),5696714,5,4
강북구,미아동,(436-49),5867574,4,4
강북구,미아동,(436-6),5795631,4,3
강북구,미아동,(436-67),6376811,5,3
강북구,미아동,(436-68),4545454,7,5
강북구,미아동,(436-7),6162683,4,3
강북구,미아동,(436-78),4455106,7,6
강북구,미아동,(436-8),5351265,4,4
강북구,미아동,(439-185),5573248,4,1
강북구,미아동,(439-99),6288448,3,2
강북구,미아동,(445-17),5058151,4,4
강북구,미아동,(447-10),5089201,3,2
강북구,미아동,(454-21),5000000,7,3
강북구,미아동,(457-14),5264010,3,2
강북구,미아동,(457-17),7383929,4,4
강북구,미아동,(457-21),6535737,5,2
강북구,미아동,(457-25),5516967,3,2
강북구,미아동,(472-4),7971428,6,1
강북구,미아동,(49-143),3167953,4,4
강북구,미아동,(49-5),2286856,7,5
강북구,미아동,(61-84),4609304,2,2
강북구,미아동,(636-107),6905379,4,3
강북구,미아동,(636-108),6544733,3,3
강북구,미아동,(636-152),5894105,5,5
강북구,미아동,(636-154),5848484,3,3
강북구,미아동,(637-266),6463768,3,2
강북구,미아동,(637-277),5900830,3,3
강북구,미아동,(637-335),5561750,4,3
강북구,미아동,(637-410),6942078,7,3
강북구,미아동,(637-5),5627032,5,4
강북구,미아동,(637-75),6194835,4,4
강북구,미아동,(679-17),8113112,13,1
강북구,미아동,(716-2),2390115,3,1
강북구,미아동,(716-3),2391568,3,1
강북구,미아동,(734-145),4198389,8,4
강북구,미아동,(734-28),2223457,3,3
강북구,미아동,(741-1),2486559,3,1
강북구,미아동,(741-3),2499999,4,1
강북구,미아동,(745-49),3106441,7,3
강북구,미아동,(75-263),2600972,3,1
강북구,미아동,(760-121),2174835,3,2
강북구,미아동,(760-122),2279620,4,4
강북구,미아동,(77-44),2313260,7,3
강북구,미아동,(77-64),2072538,7,4
강북구,미아동,(772-15),2215480,4,2
강북구,미아동,(776-140),2361697,8,6
강북구,미아동,(776-48),3029863,4,3
강북구,미아동,(783-20),2840778,7,5
강북구,미아동,(79-47),2865911,6,2
강북구,미아동,(791-1326),2438573,2,2
강북구,미아동,(791-1366),1907756,6,1
강북구,미아동,(791-1405),2374114,4,1
강북구,미아동,(791-1408),2294222,12,6
강북구,미아동,(791-1496),1707134,6,2
강북구,미아동,(791-1529),2055473,6,3
강북구,미아동,(791-1550),1912441,6,2
강북구,미아동,(791-1561),2358490,2,1
강북구,미아동,(791-1656),2546468,3,2
강북구,미아동,(791-1685),2222528,3,2
강북구,미아동,(791-1799),1805281,8,5
강북구,미아동,(791-1816),2391608,4,2
강북구,미아동,(791-1844),1982724,5,3
강북구,미아동,(791-1846),1962500,9,2
강북구,미아동,(791-1858),2083219,3,1
강북구,미아동,(791-1887),2059549,2,2
강북구,미아동,(791-1890),2148911,4,1
강북구,미아동,(791-1892),2110736,2,2
강북구,미아동,(791-1996),2963417,15,6
강북구,미아동,(791-2028),1806333,8,2
강북구,미아동,(791-2032),2833529,28,12
강북구,미아동,(791-2080),2096406,11,5
강북구,미아동,(791-2096),1375532,3,3
강북구,미아동,(791-2191),2512886,3,1
강북구,미아동,(791-2320),2143429,7,6
강북구,미아동,(791-2736),1503841,3,3
강북구,미아동,(791-2741),2361404,10,6
강북구,미아동,(791-2798),2320001,4,3
강북구,미아동,(791-2941),1775757,5,2
강북구,미아동,(791-2965),4907940,19,9
강북구,미아동,(791-2972),2355170,6,3
강북구,미아동,(791-3315),2111539,2,1
강북구,미아동,(791-3316),1121374,3,3
강북구,미아동,(791-3317),2176517,2,1
강북구,미아동,(8-213),4229460,6,1
강북구,미아동,(8-370),4898989,10,4
강북구,미아동,(8-58),3961549,8,1
강북구,미아동,(8-63),5337078,18,5
강북구,미아동,(8-76),2817306,3,3
강북구,미아동,(80-3),3017136,8,6
강북구,미아동,(80-58),3002767,4,3
강북구,미아동,(83-1),3418894,6,2
강북구,미아동,(836-11),2024663,3,1
강북구,미아동,(836-115),2384773,2,2
강북구,미아동,(836-31),1880131,3,2
강북구,미아동,(836-50),1973910,5,4
강북구,미아동,(836-55),2570422,7,2
강북구,미아동,(836-69),1772353,4,3
강북구,미아동,(836-70),1641520,4,4
강북구,미아동,(836-82),1518241,2,1
강북구,미아동,(839-125),2021800,3,2
강북구,미아동,(839-42),2072641,7,3
강북구,미아동,(839-98),2202380,3,1
강북구,미아동,(84-21),3100775,7,5
강북구,미아동,(84-69),2312952,5,2
강북구,미아동,(84-72),2164338,3,3
강북구,미아동,(84-73),2187886,3,2
강북구,미아동,(87-12),2541296,6,2
강북구,미아동,(87-183),3018113,4,4
강북구,미아동,(87-3),3238546,6,3
강북구,미아동,(87-34),3180561,6,3
강북구,미아동,(90-66),5185185,10,5
강북구,미아동,258-162,5867870,5,5
강북구,미아동,258-337,6354166,6,4
강북구,미아동,791-1767,4698426,6,2
강북구,미아동,ASUNG,5187071,10,2
강북구,미아동,HK펠리스,3821915,24,8
강북구,미아동,HappyWave2차,4214597,8,4
강북구,미아동,Hhome,4113110,9,5
강북구,미아동,Hi-Castle,4418381,12,9
강북구,미아동,HiCastle-2,4185331,8,4
강북구,미아동,J앤J빌리지,4474738,8,7
강북구,미아동,MK프라디움,5747334,10,2
강북구,미아동,Ronda,4821564,11,5
강북구,미아동,SB팰리스,4358523,36,2
강북구,미아동,SB팰리스2차,4754953,60,6
